"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.text","Input.audio_url","Answer.audio-naturalness.label","Approve","Reject"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","30OG32W0SXTIC4BHDGECR886IXDEN1","A54KH61CDVIB6","Submitted","Mon May 04 19:54:25 PDT 2020","Mon May 04 19:54:55 PDT 2020","Thu May 07 19:54:55 PDT 2020","","","","30","0% (0/0)","0% (0/0)","0% (0/0)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","30OG32W0SXTIC4BHDGECR886IXENEB","AORHXBTOCXFUK","Submitted","Mon May 04 19:59:17 PDT 2020","Mon May 04 20:03:50 PDT 2020","Thu May 07 20:03:50 PDT 2020","","","","273","100% (400/400)","100% (305/305)","100% (230/230)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Poor - Mostly unnatural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","31Q0U3WYDSXUPIPILL28OR3MT94710","A1UTBDKOQ2MKUD","Submitted","Mon May 04 19:52:19 PDT 2020","Mon May 04 19:52:32 PDT 2020","Thu May 07 19:52:32 PDT 2020","","","","13","100% (55/55)","100% (55/55)","100% (55/55)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","32RIADZISVMX0F6TW6JLHG6LS7US4O","A3N7R7P9HP2YB6","Submitted","Mon May 04 20:05:02 PDT 2020","Mon May 04 20:05:13 PDT 2020","Thu May 07 20:05:13 PDT 2020","","","","11","100% (101/101)","100% (99/99)","100% (99/99)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","33FOTY3KEP301ZKEC2AJ4DV0UKVC1Y","A25OEVVN0293PO","Submitted","Mon May 04 19:54:34 PDT 2020","Mon May 04 19:59:32 PDT 2020","Thu May 07 19:59:32 PDT 2020","","","","298","100% (443/444)","100% (300/300)","100% (235/235)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","35USIKEBNUYEZPI27YVEFKGT1ZRN6R","AQORJW4W8U9YU","Submitted","Mon May 04 20:02:24 PDT 2020","Mon May 04 20:03:18 PDT 2020","Thu May 07 20:03:18 PDT 2020","","","","54","100% (973/973)","100% (301/301)","100% (126/126)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Bad - Completely unnatural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3C44YUNSI47DNJ9UX0GKPFVGI0BPDD","A1YSYI926BBOHW","Submitted","Mon May 04 19:48:56 PDT 2020","Mon May 04 19:49:55 PDT 2020","Thu May 07 19:49:55 PDT 2020","","","","59","100% (901/901)","100% (224/224)","100% (164/164)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3CFJTT4SXW85POLGTSNEGQK8ABHI75","A1TXOZQU1O4F0N","Submitted","Mon May 04 20:01:43 PDT 2020","Mon May 04 20:02:02 PDT 2020","Thu May 07 20:02:02 PDT 2020","","","","19","100% (2/2)","0% (0/0)","0% (0/0)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3GS6S824STFCT4X8YG8IDEF6P1KWN1","A1Q4N7ZTNI9IKX","Submitted","Mon May 04 20:01:50 PDT 2020","Mon May 04 20:07:13 PDT 2020","Thu May 07 20:07:13 PDT 2020","","","","323","100% (325/325)","100% (279/279)","100% (244/244)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3H0W84IWBNK3R2396NVT0SDGJU0ERN","A2UHK8HUXXMSVM","Submitted","Mon May 04 19:47:19 PDT 2020","Mon May 04 19:49:27 PDT 2020","Thu May 07 19:49:27 PDT 2020","","","","128","100% (493/493)","100% (345/345)","100% (294/294)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Excellent - Completely natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3HHRAGRYXBNJZTKC6KY3EJ70HA0O9E","A18I566TMVVSFQ","Submitted","Mon May 04 19:47:42 PDT 2020","Mon May 04 19:49:49 PDT 2020","Thu May 07 19:49:49 PDT 2020","","","","127","100% (141/141)","100% (141/141)","100% (141/141)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3MMN5BL1W2M9KOAKCVIGV2F9MICM3H","A1MJVTR0PCKBWW","Submitted","Mon May 04 19:51:28 PDT 2020","Mon May 04 19:52:59 PDT 2020","Thu May 07 19:52:59 PDT 2020","","","","91","100% (2463/2463)","100% (802/802)","100% (463/463)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3NC5L260MR4S03BP96YVOFTBK8XFOZ","A2WCCV1W8UE8ED","Submitted","Mon May 04 19:53:09 PDT 2020","Mon May 04 19:53:26 PDT 2020","Thu May 07 19:53:26 PDT 2020","","","","17","100% (37/37)","0% (0/0)","0% (0/0)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3P4RDNWND8OY9JMIU1CBJGPH16HJID","A1UC5HHLB8VIJE","Submitted","Mon May 04 20:01:00 PDT 2020","Mon May 04 20:01:12 PDT 2020","Thu May 07 20:01:12 PDT 2020","","","","12","100% (26/26)","100% (5/5)","100% (5/5)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Poor - Mostly unnatural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3QHK8ZVMIP0UH1WCRCW7D8YWA50LB6","APSN3KV49VLKX","Submitted","Mon May 04 19:53:29 PDT 2020","Mon May 04 19:54:12 PDT 2020","Thu May 07 19:54:12 PDT 2020","","","","43","100% (414/414)","100% (412/412)","100% (345/345)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3TESA3PJ34SA6AIUIDNVR1OFM9XMM1","A3QC57KUVJP5EW","Submitted","Mon May 04 20:05:16 PDT 2020","Mon May 04 20:05:29 PDT 2020","Thu May 07 20:05:29 PDT 2020","","","","13","100% (32/32)","100% (30/30)","100% (30/30)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Good - Mostly natural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3VHHR074H6Z7FPTMEVKR86C0RFF7LC","A273DS7TQWR9M1","Submitted","Mon May 04 20:19:07 PDT 2020","Mon May 04 20:19:55 PDT 2020","Thu May 07 20:19:55 PDT 2020","","","","48","100% (287/287)","100% (265/265)","100% (207/207)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Bad - Completely unnatural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3X1FV8S5J09T4NGHL2QR1SNVHGSVGE","A3UUH3632AI3ZX","Submitted","Mon May 04 19:49:23 PDT 2020","Mon May 04 19:49:28 PDT 2020","Thu May 07 19:49:28 PDT 2020","","","","5","100% (395/396)","100% (126/126)","100% (126/126)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Fair - Equally natural and unnatural speech"
"35XW21VSVIWQB3GKCWD0FDD9MOBSLL","36Y7KK4GOFFDKKBXF2AIQG2JVDTSU3","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Mon May 04 19:44:41 PDT 2020","20","BatchId:4022930;OriginalHitTemplateId:928390811;","600","259200","Thu May 07 19:44:41 PDT 2020","","","3X73LLYYQ4WUWE2J3HMICB5JAD5NHQ","A1F1BIPJR11LSR","Submitted","Mon May 04 19:56:02 PDT 2020","Mon May 04 20:01:02 PDT 2020","Thu May 07 20:01:02 PDT 2020","","","","300","100% (510/510)","100% (339/339)","100% (327/327)","Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.","https://xilaili.github.io/wavs/0005/audio_000.wav","Fair - Equally natural and unnatural speech"
